"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","EVAP","MNPN","MXPN","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDMV","WESD","WESF"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-04-25","9.7","13.3","30.0","0.0","0.0","0.0",,"28.9","10.0","55.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-04-26","1.5","13.9","30.0","0.0",,,,"25.0","10.0","47.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-04-27","6.6","13.9","30.0","0.0","0.0","0.0",,"28.3","12.8","56.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-04-28","8.6","15.0","32.2","0.0","0.0","0.0",,"31.1","15.0","53.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-04-29","8.4","15.6","32.8","0.0","0.0","0.0",,"32.8","16.7","69.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-04-30","9.7","16.7","32.8","0.0","0.0","0.0",,"32.8","15.0","55.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-05-01","8.4","13.9","15.0","0.0","0.0","0.0",,"31.7","13.9","63.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-05-02","10.9","13.9","31.1","0.0","0.0","0.0",,"30.6","13.9","134.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-05-03","6.6","14.4","32.2","0.0","0.0","0.0",,"33.3","16.7","64.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-05-04","11.4","15.6","15.6","0.0","0.0","0.0",,"32.8","13.3","55.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-05-05","9.9","15.0","31.1","0.0","0.0","0.0",,"31.1","11.7","61.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-05-06","5.1","15.0","31.1","0.0","0.0","0.0",,"23.3","12.8","56.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-05-07","2.3","14.4","31.1","6.6","0.0","0.0",,"22.2","11.7","42.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-05-08","1.3","14.4","22.8","2.0","0.0","0.0",,"20.0","11.7","24.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-05-09","4.6","14.4","26.7","0.0","0.0","0.0",,"23.9","11.1","37.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-05-10","6.1","16.1","30.6","0.0","0.0","0.0",,"26.7","13.3","47.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-05-11","6.6","15.6","18.9","0.0","0.0","0.0",,"30.0","13.3","66.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-05-12","15.2","18.9","35.0","0.0","0.0","0.0",,"33.9","21.1","60.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-05-13","12.2","17.8","34.4","0.0","0.0","0.0",,"35.6","20.0","53.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-05-14","9.4","17.8","33.9","0.0","0.0","0.0",,"35.0","15.6","51.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-05-15","6.6","17.8","33.3","0.0","0.0","0.0",,"32.2","13.3","50.0",,
