"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2013-04-07",,,,"42","52","33",
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2013-04-08",,,,"42","54","32",
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2013-04-09",,,,"50","63","37",
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2013-04-10",,,,"58","72","47",
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2013-04-11",,,,"53","66","45",
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2013-04-12",,,,"58","68","50",
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2013-04-13",,,,"56","65","50",
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2013-04-14",,,,"46","56","35",
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2013-04-15",,,,"36","44","32",
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2013-04-16",,,,"39","51","30",
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2013-04-17",,,,"44","58","32",
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2013-04-18",,,,"53","64","41",
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2013-04-19",,,,"57","68","48",
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2013-04-20",,,,"57","70","45",
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2013-04-21",,,,"62","73","54",
