"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","39.3669","-122.575","365.8","2013-05-23",,,,,,"57","71","38",
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","39.3669","-122.575","365.8","2013-05-24",,,,,,"62","76","39",
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","39.3669","-122.575","365.8","2013-05-25",,,,,,"64","77","45",
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","39.3669","-122.575","365.8","2013-05-26",,,,,,"63","76","43",
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","39.3669","-122.575","365.8","2013-05-27",,,,,,"60","71","48",
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","39.3669","-122.575","365.8","2013-05-28",,,,,,"66","77","53",
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","39.3669","-122.575","365.8","2013-05-29",,,,,,"69","77","56",
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","39.3669","-122.575","365.8","2013-05-30",,,,,,"67","84","43",
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","39.3669","-122.575","365.8","2013-05-31",,,,,,"75","91","52",
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","39.3669","-122.575","365.8","2013-06-01",,,,,,"81","97","62",
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","39.3669","-122.575","365.8","2013-06-02",,,,,,"78","96","57",
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","39.3669","-122.575","365.8","2013-06-03",,,,,,"81","99","62",
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","39.3669","-122.575","365.8","2013-06-04",,,,,,"79","98","53",
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","39.3669","-122.575","365.8","2013-06-05",,,,,,"79","97","59",
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","39.3669","-122.575","365.8","2013-06-06",,,,,,"80","96","61",
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","39.3669","-122.575","365.8","2013-06-07",,,,,,"88","106","66",
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","39.3669","-122.575","365.8","2013-06-08",,,,,,"92","108","73",
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","39.3669","-122.575","365.8","2013-06-09",,,,,,"82","96","66",
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","39.3669","-122.575","365.8","2013-06-10",,,,,,"61","67","57",
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","39.3669","-122.575","365.8","2013-06-11",,,,,,"69","83","54",
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","39.3669","-122.575","365.8","2013-06-12",,,,,,"73","85","56",
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","39.3669","-122.575","365.8","2013-06-13",,,,,,"68","83","45",
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","39.3669","-122.575","365.8","2013-06-14",,,,,,"73","89","52",
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","39.3669","-122.575","365.8","2013-06-15",,,,,,"74","89","49",
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","39.3669","-122.575","365.8","2013-06-16",,,,,,"74","90","50",
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","39.3669","-122.575","365.8","2013-06-17",,,,,,"71","86","51",
